縣市代碼,縣市名稱,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員,lat,lng
1,新北市,10301,國立華僑中學,1,1,1,2,2,5,6,9,11,9,16,0,0,0,0,25.0075,121.4477778
1,新北市,11301,私立淡江高中附設國中部,7,7,8,161,127,152,136,161,130,153,143,0,0,0,0,25.1762507,121.437164
1,新北市,11302,私立康橋實驗高中附設國中部,11,11,8,153,156,173,154,157,137,143,160,0,0,0,0,25.079564,121.395793
1,新北市,11306,私立金陵女中附設國中部,9,8,9,0,359,0,320,0,356,0,390,0,0,0,0,25.04299,121.466942
1,新北市,11307,私立裕德實驗高中附設國中部,6,6,5,85,93,73,65,77,67,65,55,0,0,0,0,24.9830118,121.4394801
1,新北市,11309,私立南山高中附設國中部,22,22,22,534,455,537,435,565,405,537,408,0,0,0,0,25.0016594,121.5036507
1,新北市,11310,私立恆毅高中附設國中部,10,9,9,257,125,307,106,259,123,306,97,0,0,0,0,25.0366541,121.4537324
1,新北市,11311,私立聖心女中附設國中部,5,5,5,0,192,0,203,0,216,0,178,0,0,0,0,25.13562,121.449122
1,新北市,11312,私立崇義高中附設國中部,1,1,1,5,0,2,1,3,0,4,0,0,0,0,0,25.079564,121.395793
1,新北市,11314,私立中華高中附設國中部,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,24.975578,121.4374135
1,新北市,11316,私立格致高中附設國中部,6,7,6,139,92,180,105,160,82,130,77,0,0,0,0,25.0738323,121.4886747
1,新北市,11317,私立醒吾高中附設國中部,1,1,1,4,13,6,9,12,7,17,17,0,0,0,0,25.079564,121.395793
1,新北市,11318,私立徐匯高中附設國中部,3,3,3,129,0,114,0,116,0,123,0,0,0,0,0,25.080107,121.480124
1,新北市,11322,私立崇光高中附設國中部,8,8,7,87,243,86,242,10,234,16,262,0,0,0,0,24.9718753,121.538946
1,新北市,11323,私立光仁高中附設國中部,8,8,9,134,126,136,108,149,133,169,141,0,0,0,0,25.0183052,121.4764718
1,新北市,11324,私立竹林高中附設國中部,10,10,8,202,166,217,142,166,126,150,115,0,0,0,0,24.9799565,121.5057743
1,新北市,11325,私立及人高中附設國中部,1,2,2,20,5,37,11,43,15,22,17,0,0,0,0,24.966799,121.51489
1,新北市,11329,私立辭修高中附設國中部,7,8,9,153,99,175,113,221,120,193,108,0,0,0,0,24.932696,121.407931
1,新北市,11330,私立林口康橋高中附設國中部,9,6,6,146,118,131,108,124,133,133,114,0,0,0,0,25.0741868,121.389928
1,新北市,11399,私立時雨高中附設國中部,6,7,7,213,108,193,114,219,145,218,108,0,0,0,0,25.1095045,121.8552909
1,新北市,14302,市立海山高中附設國中部,29,29,29,478,440,471,437,429,405,396,381,0,0,0,0,25.0096689,121.4712073
1,新北市,14311,市立三重高中附設國中部,8,7,8,78,87,77,84,80,79,85,96,0,0,0,0,25.054741,121.4914967
1,新北市,14315,市立永平高中附設國中部,11,11,11,140,136,136,145,155,120,137,131,0,0,0,0,25.0105828,121.5083843
1,新北市,14322,市立樹林高中附設國中部,10,12,13,160,115,169,164,165,150,171,161,0,0,0,0,24.9829633,121.4223883
1,新北市,14326,市立明德高中附設國中部,10,11,9,146,105,162,112,109,103,84,78,0,0,0,0,24.9038379,121.365725
1,新北市,14332,市立秀峰高中附設國中部,14,13,13,228,167,221,156,188,187,197,176,0,0,0,0,25.0657829,121.6608704
1,新北市,14338,市立金山高中附設國中部,4,6,5,44,55,59,60,65,64,69,67,0,0,0,0,25.224676,121.637008
1,新北市,14343,市立安康高中附設國中部,8,9,9,105,83,104,108,124,97,106,109,0,0,0,0,24.9694528,121.5153
1,新北市,14347,市立雙溪高中附設國中部,4,3,3,32,18,32,23,35,32,33,33,0,0,0,0,25.0349452,121.8632655
1,新北市,14348,市立石碇高中附設國中部,2,2,2,13,12,14,10,26,15,27,25,0,0,0,0,25.0141303,121.6429468
1,新北市,14353,市立丹鳳高中附設國中部,23,23,23,369,354,382,356,376,341,349,334,0,0,0,0,25.021049,121.416544
1,新北市,14356,市立清水高中附設國中部,12,15,16,143,148,203,157,194,184,219,198,0,0,0,0,24.9823337,121.4654721
1,新北市,14357,市立三民高中附設國中部,14,15,17,202,145,192,186,230,192,239,205,0,0,0,0,25.0868693,121.4737065
1,新北市,14362,市立錦和高中附設國中部,18,18,20,249,206,232,216,233,256,223,193,0,0,0,0,24.992544,121.491084
1,新北市,14363,市立光復高中附設國中部,8,9,8,86,122,104,118,115,103,120,107,0,0,0,0,25.0167462,121.4822165
1,新北市,14364,市立竹圍高中附設國中部,7,7,7,109,90,126,86,117,87,89,69,0,0,0,0,25.1459534,121.461587
1,新北市,14381,市立北大高中附設國中部,4,4,4,76,56,55,74,56,69,65,67,0,0,0,0,24.948248,121.3764596
1,新北市,14399,市立豐珠中學附設國中,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0656443,121.9018436
1,新北市,14468,市立樟樹國際實創高中附設國中部,7,7,8,72,87,96,89,105,79,82,95,0,0,0,0,25.0659397,121.6398933
1,新北市,14501,市立板橋國中,15,16,16,223,179,229,166,236,176,230,195,32,85,3,7,25.0250509,121.4531667
1,新北市,14503,市立重慶國中,20,19,18,235,251,229,265,212,248,249,257,36,98,1,13,25.0759168,121.5180299
1,新北市,14504,市立江翠國中,19,18,18,232,210,245,242,206,222,233,233,43,104,3,10,25.0288652,121.4684587
1,新北市,14505,市立中山國中,30,29,30,495,447,471,419,484,454,465,452,58,151,2,12,25.0606103,121.5455307
1,新北市,14506,市立新埔國中,12,12,10,134,152,141,145,121,114,136,125,20,70,5,5,25.0248193,121.4597107
1,新北市,14507,市立新莊國中,25,24,24,301,294,346,305,300,323,312,279,45,133,2,12,25.0358171,121.4519927
1,新北市,14508,市立新泰國中,18,20,18,248,201,258,220,241,186,242,224,37,103,2,9,25.0425875,121.444305
1,新北市,14509,市立福營國中,19,19,18,239,201,293,207,311,226,235,207,54,92,1,10,25.0252883,121.4226136
1,新北市,14510,市立頭前國中,14,14,14,194,149,184,170,177,177,154,170,28,77,1,10,25.0545816,121.4589197
1,新北市,14512,市立光榮國中,9,8,10,135,87,93,76,113,92,103,95,15,53,2,7,25.0704534,121.4999178
1,新北市,14513,市立明志國中,19,19,19,250,233,249,185,271,243,275,211,41,100,4,9,25.0634787,121.4890227
1,新北市,14514,市立碧華國中,15,14,12,225,197,195,166,166,153,144,173,31,66,2,11,25.0824108,121.4949227
1,新北市,14516,市立永和國中,35,34,36,487,451,488,463,509,464,463,404,59,198,2,12,25.0064786,121.5236378
1,新北市,14517,市立福和國中,29,29,31,399,367,382,404,363,411,339,323,54,160,1,13,25.0040606,121.5209434
4,新竹縣,44531,縣立北平華德福實驗學校(國中),1,1,1,9,7,4,6,4,6,4,6,2,7,0,2,24.8524659,121.0863555
