國道編號,隸屬縣市,坐標X-TWD97,坐標Y-TWD97,坐標X-WGS84,坐標Y-WGS84,公告樁號,性質,牌面內容,方向與備註
國道10號,屏東縣,195923.458,2522154.279,120.473268,22.79928779,0,匝道里程,0,里港交流道
國道10號,屏東縣,197782.456,2522267.305,120.4913712,22.80036727,0,匝道里程,0,里港交流道
國道10號,高雄市,184068.993,2510582.264,120.3582929,22.69436406,0,匝道里程,0,仁武交流道
國道10號,高雄市,184267.897,2512349.701,120.3601546,22.71033267,0,匝道里程,0,仁武交流道
國道10號,高雄市,184141.773,2511168.475,120.3589766,22.69966069,0,匝道里程,0,仁武交流道
國道10號,高雄市,185283.289,2517478.65,120.3698259,22.75668882,100,匝道里程,100,燕巢交流道
國道10號,高雄市,193468.656,2521846.867,120.449369,22.79643093,100,匝道里程,100,嶺口交流道
國道10號,高雄市,194163.061,2521999.438,120.456127,22.79783194,100,匝道里程,100,嶺口交流道
國道10號,高雄市,179494.712,2508950.88,120.3138471,22.67944725,,服務設施指示性質告示牌,,左營端
國道1號,苗栗縣,241713.136,2731454.911,120.9181073,24.69009317,100,匝道里程,100,頭份交流道
國道1號,苗栗縣,241935.054,2731670.888,120.9202991,24.69204435,100,匝道里程,100,頭份交流道
國道1號,苗栗縣,241483.856,2731703.08,120.91584,24.69233257,100,匝道里程,100,頭份交流道
國道1號,苗栗縣,235251.507,2718598.848,120.8543867,24.57396997,0,匝道里程,0,頭屋交流道
國道1號,苗栗縣,235665.042,2719156.395,120.8584639,24.57900788,0,匝道里程,0,頭屋交流道
國道1號,苗栗縣,235588.826,2719340.787,120.8577095,24.58067202,0,匝道里程,0,頭屋交流道
國道1號,苗栗縣,231551.817,2712885.599,120.8179339,24.52234599,100,匝道里程,100,苗栗交流道
國道1號,苗栗縣,231826.891,2712870.624,120.8206488,24.52221403,100,匝道里程,100,苗栗交流道
國道1號,苗栗縣,231780.156,2712922.56,120.8201869,24.52268241,100,匝道里程,100,苗栗交流道
國道1號,苗栗縣,231860.024,2712970.849,120.8209745,24.52311934,100,匝道里程,100,苗栗交流道
國道1號,苗栗縣,231728.404,2713144.245,120.8196733,24.52468337,100,匝道里程,100,苗栗交流道
國道1號,苗栗縣,228476.288,2707213.932,120.7876675,24.47109725,0,匝道里程,0,銅鑼交流道
國道1號,苗栗縣,228293.355,2707728.976,120.785855,24.47574501,0,匝道里程,0,銅鑼交流道
國道1號,苗栗縣,227970.269,2708395.753,120.7826573,24.48176075,0,匝道里程,0,銅鑼交流道
國道1號,苗栗縣,228163.544,2707720.28,120.7845745,24.47566467,0,匝道里程,0,銅鑼交流道
國道1號,苗栗縣,225564.562,2698584.981,120.7590914,24.39314348,100,匝道里程,100,三義交流道
國道1號,桃園縣,287535.809,2773135.354,121.3720598,25.06596247,100,匝道里程,100,林口交流道
國道1號,桃園縣,286832.481,2772981.156,121.3650843,25.06458766,100,匝道里程,100,林口交流道
國道1號,桃園縣,280634.371,2770388.614,121.3035916,25.04132004,0,匝道里程,0,桃園交流道
國道1號,桃園縣,280457.052,2770295.256,121.3018323,25.04048077,0,匝道里程,0,桃園交流道
國道1號,桃園縣,280163.945,2769952.015,121.2989201,25.03738779,0,匝道里程,0,桃園交流道
國道1號,桃園縣,280142.257,2769902.811,121.2987041,25.03694399,0,匝道里程,0,桃園交流道
國道1號,桃園縣,279621.135,2769752.003,121.2935367,25.03559276,0,匝道里程,0,桃園交流道
國道1號,桃園縣,279643.638,2769659.376,121.2937577,25.03475606,0,匝道里程,0,桃園交流道
國道1號,桃園縣,279347.223,2769553.096,121.2908181,25.03380232,0,匝道里程,0,桃園交流道
國道1號,桃園縣,279368.757,2769294.986,121.291026,25.03147162,0,匝道里程,0,桃園交流道
國道1號,桃園縣,277045.787,2768625.593,121.2679939,25.02547147,0,匝道里程,0,機場系統交流道
國道1號,桃園縣,277227.32,2768363.68,121.2697875,25.0231036,0,匝道里程,0,機場系統交流道
國道1號,桃園縣,277999.614,2767502.544,121.2774224,25.01531496,0,匝道里程,0,機場系統交流道
國道1號,桃園縣,273813.241,2764568.793,121.2358932,24.98889977,0,匝道里程,0,內壢交流道
國道1號,桃園縣,273801.196,2764267.711,121.2357687,24.98618169,0,匝道里程,0,內壢交流道
國道1號,桃園縣,273694.004,2764169.229,121.2347052,24.98529424,0,匝道里程,0,內壢交流道
國道1號,桃園縣,270023.982,2760864.443,121.1983035,24.95551032,200,匝道里程,200,中壢交流道
國道1號,桃園縣,269421.987,2759117.731,121.1923173,24.93974813,100,匝道里程,100,平鎮系統交流道
國道1號,桃園縣,269458.241,2759083.113,121.1926758,24.93943512,100,匝道里程,100,平鎮系統交流道
國道1號,桃園縣,269271.097,2758903.107,121.1908202,24.93781234,100,匝道里程,100,平鎮系統交流道
國道1號,桃園縣,269081.462,2758774.837,121.1889407,24.93665666,100,匝道里程,100,平鎮系統交流道
國道1號,桃園縣,269230.29,2758590.86,121.1904118,24.93499376,100,匝道里程,100,平鎮系統交流道
國道1號,桃園縣,268857.996,2758804.514,121.1867284,24.93692738,100,匝道里程,100,平鎮系統交流道
國道1號,桃園縣,268754.436,2758392.941,121.1856974,24.93321281,100,匝道里程,100,平鎮系統交流道
國道1號,桃園縣,268772.646,2758348.163,121.1858771,24.93280831,100,匝道里程,100,平鎮系統交流道
國道1號,桃園縣,266689.295,2755688.006,121.1652169,24.90881554,100,匝道里程,100,楊梅交流道
