seq,landfillname,county,township,statdate,totaldesigncapacity,remainvolume,latitude,longitude
106,東引鄉垃圾衛生掩埋場,連江縣,東引鄉,2020/6/30,"30,785","27,293",26.36137,120.49336
105,莒光鄉東莒衛生掩埋場,連江縣,莒光鄉,2020/6/30,"30,000","8,910",25.96261,119.98058
104,東引鄉垃圾衛生掩埋場,連江縣,東引鄉,2021/8/5,"30,785 ","27,293 ","26.36137 ","120.49336 "
103,莒光鄉東莒衛生掩埋場,連江縣,莒光鄉,2021/8/5,"30,000 ","8,910 ","25.96261 ","119.98058 "
102,莒光鄉西莒衛生掩埋場,連江縣,莒光鄉,2021/8/5,"28,000 ","13,716 ","25.97986 ","119.94556 "
101,北竿鄉垃圾衛生掩埋場(一期+二期),連江縣,北竿鄉,2021/8/5,"44,800 ","34,800 ","26.23239 ","120.00406 "
100,南竿鄉垃圾衛生掩埋場,連江縣,南竿鄉,2021/8/5,"12,637 ","37 ","26.16364 ","119.96191 "
99,金湖鎮新塘衛生掩埋場,金門縣,金湖鎮,2021/8/5,"194,000 ","19,260 ","24.41688 ","118.44695 "
98,烈嶼鄉東崗衛生掩埋場,金門縣,烈嶼鄉,2021/8/5,"125,000 ","20,600 ","24.41711 ","118.23828 "
97,七美鄉西湖垃圾衛生掩埋場,澎湖縣,七美鄉,2021/8/5,"42,242 ","9,994 ","23.21751 ","119.42413 "
96,白沙鄉吉貝村垃圾衛生掩埋場,澎湖縣,白沙鄉,2021/8/5,"36,000 ","2,457 ","23.74406 ","119.62131 "
95,白沙鄉岐頭衛生掩埋場,澎湖縣,白沙鄉,2021/8/5,"38,000 ","2,764 ","23.65798 ","119.60596 "
94,西嶼鄉竹篙灣衛生掩埋場,澎湖縣,西嶼鄉,2021/8/5,"37,300 ","5,296 ","23.63380 ","119.50550 "
93,湖西鄉紅羅衛生掩埋場,澎湖縣,湖西鄉,2021/8/5,"99,020 ","27,438 ","23.59463 ","119.63358 "
92,望安鄉將軍衛生掩埋場,澎湖縣,望安鄉,2021/8/5,"28,800 ","1,937 ","23.37087 ","119.53088 "
91,望安鄉水垵衛生掩埋場,澎湖縣,望安鄉,2021/8/5,"25,500 ","1,621 ","23.38030 ","119.50336 "
90,白沙鄉鳥嶼簡易垃圾場,澎湖縣,白沙鄉,2021/8/5,"3,109 ","860 ","23.12838 ","123.10728 "
89,白沙鄉大倉簡易垃圾場,澎湖縣,白沙鄉,2021/8/5,"6,548 ","1,366 ","23.61963 ","119.56636 "
88,望安鄉花嶼簡易垃圾場,澎湖縣,望安鄉,2021/8/5,"3,600 ","2,845 ","23.40230 ","119.31825 "
87,臺東市垃圾衛生掩埋場,臺東縣,臺東市,2021/8/5,"335,309 ","0 ","22.73178 ","121.08543 "
86,蘭嶼鄉垃圾衛生掩埋場,臺東縣,蘭嶼鄉,2021/8/5,"39,150 ","48 ","22.01079 ","121.56891 "
85,綠島鄉垃圾衛生掩埋場,臺東縣,綠島鄉,2021/8/5,"54,000 ","10,771 ","22.65581 ","121.50398 "
84,鹿野鄉垃圾衛生掩埋場(二期),臺東縣,鹿野鄉,2021/8/5,"34,200 ","0 ","22.93013 ","121.14776 "
83,延平鄉垃圾衛生掩埋場,臺東縣,延平鄉,2021/8/5,"45,143 ","3,274 ","22.91903 ","121.15631 "
82,東河鄉垃圾衛生掩埋場-第2期,臺東縣,東河鄉,2021/8/5,"97,100 ","1,782 ","23.00511 ","121.27633 "
81,成功鎮垃圾衛生掩埋場,臺東縣,成功鎮,2021/8/5,"352,000 ","0 ","23.02086 ","121.33148 "
80,長濱鄉垃圾衛生掩埋場,臺東縣,長濱鄉,2021/8/5,"54,380 ","14,973 ","23.32056 ","121.46131 "
