lng,lat,縣市別,工業區名稱,管理單位名稱,服務中心地址,工業區面積
121.6130666,25.0565712,台北市南港區,南港軟體工業園區,經濟部產業園區管理局,台北市南港區三重路19之10號2樓,8.2公頃
121.57504,25.0781661,台北市內湖區,內湖科技園區,台北市政府,台北市內湖區洲子街12號4樓,149.72公頃
121.5136116,25.1028595,台北市士林區,北投士林科技園區,台北市政府,112052台北市北投區承德路六段337號,90.24公頃
121.3742034,25.0575212,新北市林口區,林口特定區(工二),經濟部產業園區管理局,桃園縣龜山鄉文化一路53號,52.44公頃
121.785172,25.0965557,新北市瑞芳區,瑞芳產業園區,經濟部產業園區管理局,新北市瑞芳區頂坪路116號,38公頃
121.4181359,25.001685,新北市樹林區,樹林產業園區,經濟部產業園區管理局,新北市樹林區武林街6號,22公頃
121.4576249,25.0633587,新北市五股區,新北產業園區,經濟部產業園區管理局,新北市新莊區五工路95號,140.55公頃
121.421176,24.9632109,新北市土城區,土城產業園區,經濟部產業園區管理局,新北市土城區沛陂里三民路4號,107公頃
121.4565081,24.9988643,新北市板橋區,台北遠東通訊園區,遠東資源開發股份有限公司,新北市板橋區遠東路1號4樓,24.3745公頃
120.6083414,24.169161,台中市南屯區,台中工業區,經濟部產業園區管理局,台中市西屯區協和里工業區五路2號,583公頃
120.6188344,24.2099602,台中市西屯區,中部科學園區台中園區,國科會中部科學園區管理局,台中市西屯區中科路2號,466公頃
120.651973,24.404733,台中市大甲區,大甲幼獅工業區,經濟部產業園區管理局,台中市大甲區日南里幼獅路36號,218.47公頃
120.5231777,24.2372498,台中市梧棲區,台中港關連工業區,經濟部產業園區管理局,台中市梧棲區自強路280號,142.8公頃
120.7141497,24.0951673,台中市大里區,大里工業區,經濟部產業園區管理局,台中市大里區仁工業路2號,77.21公頃
120.5154918,24.237069,台中市梧棲區,臺中港科技產業園區,經濟部產業園區管理局,台中市梧棲區大觀路6號,122.27公頃
120.7047938,24.2172909,台中市潭子區,潭子科技產業園區,經濟部產業園區管理局,台中市潭子區建國路1號,26.12公頃
120.6962293,24.0851753,台中市大里區,台中軟體園區,經濟部產業園區管理局,臺中市大里區科技路1號,7.9公頃
120.6188344,24.2099602,台中市后里區,中部科學園區后里園區,國科會中部科學園區管理局,台中市西屯區中科路2號,255公頃
120.6467736,24.161886,台中市豐原區,豐洲科技工業園區,台中市政府經濟發展局,臺中市西屯區臺灣大道三段99號,47.6356公頃
120.6066403,24.1472327,台中市南屯區,台中精密機械科技園區,台中市政府經濟發展局,408台中市南屯區精科東路17號,161.71公頃
120.5235979,24.2561053,台中市梧棲區,台中港自由貿易港區,台灣港務股份有限公司台中港務分公司,435台中市梧棲區臺灣大道十段2號南棟1樓,82.55公頃
120.1831494,22.973813,台南市南區,安平產業園區,經濟部產業園區管理局,台南市南區中華西路一段67號,200公頃
120.1475911,23.0453952,台南市安南區,台南科技工業區,經濟部產業園區管理局,台南市安南區顯宮里科技公園大道1號,493.88公頃
120.2743476,23.0490774,台南市永康區,永康產業園區,經濟部產業園區管理局,台南市永康區王行里環工路6號,74.6743公頃
120.323189,23.209542,台南市官田區,官田產業園區,經濟部產業園區管理局,台南市官田區二鎮里工業路21號,227公頃
120.2778165,23.0411905,台南市永康區,永康科技工業區,台南市政府,台南市永康區永科三路99號,132.11公頃
120.3516125,23.2835718,台南市柳營區,柳營科技工業區,台南市政府,台南市柳營鄉大農村工一路7號,243.39公頃
120.2813333,23.3032744,台南市新營區,新營產業園區,經濟部產業園區管理局,台南市新營區新工路28號,124公頃
120.2822156,23.1012681,台南市新市區,南部科學園區台南園區,國科會南部科學園區管理局,台南市新市區南科三路22號,1043公頃
120.1845248,22.9913795,台南市安南區,新吉工業區,台南市政府,台南市安平區永華路二段６號,123.26公頃
120.2530412,22.9682124,台南市仁德區,保安工業區,永德土地開發公司,台南市仁德區保安村永德路9號,59.81公頃
120.2192866,23.0457729,台南市安南區,和順工業區,台南市政府,安南區永安路11巷11號,
120.2198774,23.1778188,台南市麻豆區,麻豆工業區,台南市政府,台南市麻豆區麻口里麻豆口10-2號,110.84公頃
120.2081306,23.0598777,台南市安南區,總頭寮工業區,台南市政府,709台南市安南區工明南一路52號,
120.2465153,22.9226739,台南市仁德區,仁德工業區,台南市政府,717台南市仁德區開發三路13號,91.75
120.2459315,23.0325018,台南市永康區,亞太工業區,台南市政府,710台南市永康區中正路279巷1號,
120.1808044,22.9195015,台南市南區,灣裡工業區,台南市政府,702台南市南區興南街312號,
