站點UID,站點ID,站點名稱,站點地址,假日自行車進出與否,lat,lng
TRTC-R23,R23,復興崗,112054臺北市北投區中央北路3段53巷10號,True,25.137497,121.485456
TRTC-R24,R24,忠義,112017臺北市北投區中央北路4段301號,True,25.130923000000003,121.473298
TRTC-R25,R25,關渡,112021臺北市北投區大度路3段296巷51號,True,25.125510000000002,121.46700000000001
TRTC-R26,R26,竹圍,251033新北市淡水區民權路50號,True,25.1369,121.45955
TRTC-R27,R27,紅樹林,251033新北市淡水區中正東路2段68號,True,25.15399,121.4588
TRTC-R28,R28,淡水,251018新北市淡水區中正路1號,False,25.167745,121.44580500000001
TRTC-R22A,R22A,新北投,112028臺北市北投區大業路700號,True,25.136931,121.502595
TRTC-Y07,Y07,大坪林,23143新北市新店區北新路3段190號,False,24.98272,121.54133999999999
TRTC-Y08,Y08,十四張,23141新北市新店區民權路282號,False,24.984333,121.527698
TRTC-Y09,Y09,秀朗橋,23582新北市中和區景平路2號,False,24.990548999999998,121.525051
TRTC-Y10,Y10,景平,23578新北市中和區景平路121號,False,24.991968,121.516553
TRTC-Y11,Y11,景安,23582新北市中和區景平路486號,False,24.993920000000003,121.50511399999999
TRTC-Y12,Y12,中和,23558新北市中和區中山路二段271號,False,25.001981,121.496052
TRTC-Y13,Y13,橋和,23557新北市中和區板南路430號,False,25.004413,121.49046100000001
TRTC-Y14,Y14,中原,23556新北市中和區板南路510號,False,25.00841,121.484159
TRTC-Y15,Y15,板新,22066新北市板橋區板新路109號,False,25.014491,121.47221200000001
TRTC-Y16,Y16,板橋,22041新北市板橋區新站路66號,False,25.015156,121.464825
TRTC-Y17,Y17,新埔民生,22047新北市板橋區民生路3段70號,False,25.026125,121.466839
TRTC-Y18,Y18,頭前庄,24251新北市新莊區思源路18號B1,False,25.039862,121.460479
TRTC-Y19,Y19,幸福,24250新北市新莊區思源路292號,False,25.050282,121.46021599999999
TRTC-Y20,Y20,新北產業園區,24886新北市新莊區五工路35號,False,25.061548000000002,121.459926
NTDLRT-V01,V01,紅樹林,新北市淡水區中正東路二段68號(輕軌紅樹林站),False,25.155597,121.458851
NTDLRT-V02,V02,竿蓁林,,False,25.162415,121.456232
NTDLRT-V03,V03,淡金鄧公,,False,25.169363,121.46081299999999
NTDLRT-V04,V04,淡江大學,,False,25.17687,121.45595300000001
NTDLRT-V05,V05,淡金北新,,False,25.181131,121.452366
NTDLRT-V06,V06,新市一路,,False,25.183817,121.44825800000001
NTDLRT-V07,V07,淡水行政中心,,False,25.189017,121.44448200000001
NTDLRT-V08,V08,濱海義山,,False,25.189770000000003,121.43738
NTDLRT-V09,V09,濱海沙崙,,False,25.190501,121.43158899999999
NTDLRT-V10,V10,淡海新市鎮,,False,25.195691,121.43247099999999
NTDLRT-V11,V11,崁頂,,False,25.200994,121.434651
NTDLRT-V26,V26,淡水漁人碼頭,新北市淡水區中正路二段51巷,False,25.182005,121.418605
NTDLRT-V27,V27,沙崙,,False,25.187535999999998,121.417331
NTDLRT-V28,V28,台北海洋大學,,False,25.191141000000002,121.42636499999999
KRTC-O1,O1,西子灣,高雄市鼓山區臨海二路17-1號地下一層,True,22.621492,120.27450800000001
KRTC-O2,O2,鹽埕埔,高雄市鹽埕區大勇路96號地下一層,True,22.623795,120.283975
KRTC-O4,O4,市議會,高雄市前金區中正四路192-1號地下一層,True,22.628933,120.294766
KRTC-O5,O5,美麗島,高雄市新興區中山一路115號地下一樓,True,22.631278,120.30325400000001
KRTC-O6,O6,信義國小,高雄市新興區中正三路32-1號地下一樓,True,22.630675,120.31139099999999
