lng,lat,機場正式名稱,俗名,IATA碼,ICAO碼,所在區域,跑道長度,行政區,等級,登記地址
121.2226831,25.0288155,臺灣桃園國際機場,桃園機場,TPE,RCTP,北部,"北跑道：3660m,南跑道：3800m",桃園市大園區,特等,桃園市大園區航站南路9號
121.5518476,25.0636811,臺北國際航空站,松山機場,TSA,RCSS,北部,跑道：2605m,臺北市松山區,甲等,臺北市松山區敦化北路340-9號
120.3417462,22.5716937,高雄國際航空站,小港機場,KHH,RCKH,南部,跑道：3150m,高雄市小港區,甲等,高雄市小港區中山四路2號
120.6003898,24.2557805,臺中國際航空站,清泉崗機場,RMQ,RCMQ,中部,跑道：3650m,臺中市沙鹿區,乙等,臺中市沙鹿區中航路一段168號
120.2165605,22.9551503,臺南航空站,臺南機場,TNN,RCNN,南部,"跑道1：3050m,跑道2：3050m",臺南市南區,乙等,臺南市南區機場路775號
121.6136111,24.0255556,花蓮航空站,花蓮機場,HUN,RCYU,東部,跑道：2750m,花蓮縣新城鄉,乙等,花蓮縣新城鄉嘉里村機場1號
121.1067659,22.7559279,臺東航空站,豐年機場,TTT,RCFN,東部,跑道：2438m,臺東縣臺東市,乙等,臺東縣臺東市民航路1100號
119.6354282,23.5585568,澎湖航空站,澎湖機場,MZG,RCQC,南部,跑道：3000m,澎湖縣湖西鄉,乙等,澎湖縣湖西鄉隘門村126-1號
118.363849,24.441557,金門航空站,尚義機場,KNH,RCBS,金馬,跑道：3007m,金門縣金湖鎮,乙等,金門縣金湖鎮中山路2號
120.403774,23.454794,嘉義航空站,水上機場,CYI,RCKU,南部,跑道：3050m,嘉義縣水上鄉,丙等,嘉義縣水上鄉榮典路1號
120.733458,22.040037,恆春航空站,五里亭機場,HCN,RCKW,南部,跑道：1700m,屏東縣恆春鎮,丁等,屏東縣恆春鎮省北路二段393號
119.4951495,23.3706318,望安航空站,望安機場,WOT,RCWA,南部,跑道：930m,澎湖縣望安鄉,丁等,澎湖縣望安鄉中社村156號
119.417887,23.2117096,七美航空站,七美機場,CMJ,RCCM,南部,跑道：845m,澎湖縣七美鄉,丁等,澎湖縣七美鄉平和村55號
121.4674902,22.672845,綠島航空站,綠島機場,GNI,RCGI,東部,跑道：992m,臺東縣綠島鄉,丁等,臺東縣綠島鄉南寮村231號
121.5358548,22.0277462,蘭嶼航空站,蘭嶼機場,KYD,RCLY,東部,跑道：1174m,臺東縣蘭嶼鄉,丁等,臺東縣蘭嶼鄉紅頭村漁人151號
119.9992841,26.2236073,馬祖北竿航空站,北竿機場,MFK,RCMT,金馬,跑道：1150m,連江縣北竿鄉,丁等,連江縣北竿鄉塘岐村261-2號
119.9554059,26.1578864,馬祖南竿航空站,南竿機場,LZN,RCFG,金馬,跑道：1579m,連江縣南竿鄉,丁等,連江縣南竿鄉復興村220號
