名稱,lat,lng
迪化污水處理廠,25.0725694,121.5104495
內湖污水處理廠,25.066389,121.574362
八里污水處理廠,25.1603062,121.4095782
淡水水資源回收中心,25.1917463,121.4217621
林口水資源回收中心,25.107599,121.395977
直潭污水處理廠,24.9385773,121.5342356
烏來污水處理廠,24.8760421,121.5439542
坪林污水處理廠,24.9362092,121.7029093
六堵污水處理廠,25.0831246,121.7029569
宜蘭地區水資源回收中心,24.7264144,121.809816
羅東地區水資源回收中心,24.6691096,121.8063919
竹北市水資源回收中心,24.8532339,120.9554803
竹東鎮水資源回收中心,24.7467418,121.0846792
復興鄉水資源回收中心,24.8143291,121.3507718
龜山水資源回收中心,25.0453337,121.3686252
大溪水資源回收中心,24.9224932,121.251242
石門水資源回收中心,24.8364574,121.2503485
花蓮地區水資源回收中心,23.930873,121.5950012
介壽污水處理廠,26.1545215,119.9552627
新竹市客雅水資源回收中心,24.7984944,120.9161373
苗栗水資源回收中心,24.677381,120.872207
明德水庫特定區水資源回收中心,24.5858671,120.8821585
竹南頭份水資源回收中心,24.677381,120.872207
明德水庫南岸水資源回收中心,24.5765856,120.8545433
福田水資源回收中心,24.1086,120.66
石岡壩水源特定區水資源回收中心,24.2777284,120.7653668
二林污水處理廠,23.8886926,120.3574452
斗六市水資源回收中心,23.7120532,120.5305796
嘉義縣擴大縣治污水處理廠,23.4547189,120.2840257
朴子污水處理廠,23.4636862,120.2305138
官田污水處理廠,23.1894045,120.3176041
柳營水資源回收中心,23.2913441,120.3221709
安平污水處理廠,22.9824844,120.1777148
虎尾寮污水處理廠,22.9818868,120.2488182
鳳山溪污水處理廠,22.597631,120.3504928
大樹污水處理廠,22.6851681,120.4328374
中區污水處理廠,22.5862268,120.2875575
楠梓污水處理廠,22.7242248,120.2642686
六塊厝污水處理廠,22.631188,120.4486893
恆春污水處理廠,21.9932621,120.7433804
知本水資源回收中心,22.7050071,121.0395814
太湖污水處理廠,24.440372,118.4188058
榮湖污水處理廠,24.4811092,118.4279933
擎天污水處理廠,24.4604342,118.383024
金城污水處理廠,24.4310361,118.3138051
東林污水處理廠,24.4280291,118.247856
