站點ID,站點名稱,站點地址,車站級別,lat,lng
3260,頭家厝,427臺中市潭子區頭張東路43巷8號,4,24.19572,120.70398
3270,松竹,40615臺中市北屯區舊社里松竹路一段1473巷100號,4,24.18045,120.70196999999999
3280,太原,40645臺中市北屯區北興里東光路 665 號,4,24.165010000000002,120.69986000000002
3290,精武,40151臺中市東區東南里東光路 161號,4,24.149279999999997,120.69776999999999
3300,臺中,40043臺中市中區綠川里臺灣大道一段 1 號,0,24.13747,120.68691000000001
3310,五權,40219臺中市南區建國南路二段201號,4,24.12894,120.66653000000001
3320,大慶,40242臺中市南區樹德里7鄰大慶街2段130號,4,24.11958,120.64871000000001
3330,烏日,41442臺中市烏日區烏日里三民街 258 號,4,24.10867,120.62244
3340,新烏日,41456臺中市烏日區三和里高鐵東一路 26 號,2,24.10976,120.61429
3350,成功,41453臺中市烏日區榮泉里中山路三段 550 號,3,24.11424,120.59021000000001
3360,彰化,50043彰化縣彰化市長樂里三民路 1 號,1,24.08171,120.53828
3370,花壇,50341彰化縣花壇鄉花壇村中正路 370 號,4,24.02521,120.53759
3380,大村,515彰化縣大村鄉過溝村福進路 100 號,4,23.990029999999997,120.56068
3390,員林,51041彰化縣員林市和平里民權街 55 號,1,23.959329999999998,120.56995
3400,永靖,51241彰化縣永靖鄉崙子村永崙路 25 號,5,23.92811,120.57165
3410,社頭,51155彰化縣社頭鄉廣興村社站路 10 號,3,23.89571,120.58081999999999
3420,田中,52042彰化縣田中鎮中路里中州路一段 1 號,2,23.85827,120.59121
3430,二水,53042彰化縣二水鄉光化村光文路 1 號,2,23.81321,120.61805
3431,源泉,530彰化縣二水鄉合興村英義路 (無站房),5,23.798460000000002,120.64208
3432,濁水,55141南投縣名間鄉濁水村車站路 15 號,4,23.834670000000003,120.70467
3433,龍泉,552南投縣集集鎮隘寮村龍泉巷 (無站房),5,23.83521,120.74996000000002
3434,集集,55241南投縣集集鎮吳厝里民生路 75 號,5,23.826529999999998,120.78491000000001
3435,水里,55353南投縣水里鄉水里村民生路 440 號,4,23.81844,120.85333
