名稱,lat,lng
臺東縣垃圾焚化廠,22.7313761,121.1341729
臺南市永康垃圾資源回收(焚化)廠,23.0402307,120.2835447
苗栗縣垃圾焚化廠,24.6876044,120.8596104
嘉義縣鹿草垃圾焚化廠,23.437223,120.280145
新北市八里垃圾焚化廠,25.1348846,121.3669304
屏東縣崁頂垃圾資源回收(焚化)廠,22.5129847,120.510755
高雄市仁武垃圾資源回收(焚化)廠,22.7057951,120.3423604
高雄市岡山垃圾資源回收(焚化)廠,22.8102491,120.2694697
新竹市垃圾資源回收廠,24.8348051,120.916826
彰化縣溪州垃圾焚化廠,23.8338916,120.4603731
基隆市天外天垃圾資源回收(焚化)廠,25.1280668,121.7742847
臺中市后里資源回收廠,24.287266,120.6985438
臺中市烏日資源回收廠,24.098773,120.6195178
嘉義市垃圾焚化廠,23.4433698,120.4415422
宜蘭縣利澤垃圾資源回收(焚化)廠,24.6610416,121.8353997
桃園市垃圾焚化廠,24.9920744,121.249011
新北市樹林垃圾焚化廠,24.9672754,121.3800491
新北市新店垃圾焚化廠,24.9583222,121.4968505
高雄市政府環境保護局南區資源回收廠,22.5501537,120.3759878
高雄市政府環境保護局中區資源回收廠,22.66585,120.33126
臺南市城西垃圾焚化廠,23.0468604,120.0763211
臺中市文山垃圾焚化廠,24.1557028,120.592885
臺北市政府環境保護局北投垃圾焚化廠,25.1079548,121.4992782
臺北市政府環境保護局內湖垃圾焚化廠,25.062212,121.6045321
臺北市政府環境保護局木柵垃圾焚化廠,25.0057553,121.5878359
