名稱,lat,lng
法務部矯正署臺北監獄 ,24.980218,121.33081
法務部矯正署桃園監獄 ,24.9948563,121.2905759
法務部矯正署八德外役監獄 ,24.980218,121.33081
法務部矯正署桃園女子監獄,24.8448756,121.2371435
法務部矯正署新竹監獄 ,24.9633505,121.2334069
法務部矯正署臺中監獄 ,24.139148,120.595718
法務部矯正署臺中女子監獄,24.1423177,120.5984766
法務部矯正署彰化監獄 ,23.9384439,120.3825477
法務部矯正署雲林監獄 ,23.7162184,120.4242401
法務部矯正署雲林第二監獄,23.7143791,120.4141567
法務部矯正署嘉義監獄 ,23.419257,120.3089541
法務部矯正署臺南監獄 ,22.924703,120.269786
法務部矯正署臺南第二監獄 ,23.2379469,120.3721541
法務部矯正署明德外役監獄 ,23.1034018,120.3996054
法務部矯正署高雄監獄 ,22.584481,120.4011911
法務部矯正署高雄第二監獄,22.75885,120.3709781
法務部矯正署高雄女子監獄,22.584481,120.4011911
法務部矯正署屏東監獄 ,22.632707,120.5323159
法務部矯正署臺東監獄 ,22.7505133,121.1520924
法務部矯正署綠島監獄 ,22.6695974,121.4756108
法務部矯正署花蓮監獄 ,23.947899,121.527892
法務部矯正署自強外役監獄,23.6203846,121.417046
法務部矯正署宜蘭監獄 ,24.6649871,121.6765487
法務部矯正署基隆監獄 ,25.1276033,121.7391833
法務部矯正署澎湖監獄 ,23.5907808,119.6165917
法務部矯正署金門監獄 ,24.4406493,118.4169275
法務部矯正署新店戒治所 ,24.978282,121.5394822
法務部矯正署臺中戒治所 ,24.13928,120.595722
法務部矯正署高雄戒治所 ,22.7605653,120.373366
法務部矯正署臺東戒治所 ,22.9711521,121.118206
法務部矯正署泰源技能訓練所,23.0691722,121.2855249
法務部矯正署東成技能訓練所,22.8383353,121.0965637
法務部矯正署岩灣技能訓練所,22.8070403,121.126156
桃園少年輔育院 ,25.0210744,121.3115787
彰化少年輔育院 ,23.8762978,120.6105536
誠正中學 ,24.8663179,120.9803949
明陽中學 ,22.7623894,120.3732409
法務部矯正署臺北看守所 ,24.9881955,121.460599
法務部矯正署臺北女子看守所,24.9890038,121.4603767
法務部矯正署新竹看守所 ,24.9633505,121.2334069
法務部矯正署苗栗看守所 ,24.522753,120.793193
法務部矯正署臺中看守所 ,24.13928,120.595722
法務部矯正署南投看守所 ,23.9179637,120.6775054
法務部矯正署彰化看守所 ,23.9667013,120.5730812
法務部矯正署嘉義看守所 ,23.419257,120.3089541
法務部矯正署臺南看守所 ,22.924703,120.269786
法務部矯正署屏東看守所 ,22.6315379,120.5306814
法務部矯正署花蓮看守所 ,24.0001143,121.6283473
法務部矯正署基隆看守所 ,25.1276033,121.7391833
法務部矯正署臺北少年觀護所,24.9690653,121.4589755
法務部矯正署臺南少年觀護所,22.97498,120.2102147
