名稱,lat,lng
基隆東岸廣場,25.130169,121.7431842
美麗華百樂園,25.0834232,121.5574584
京站時尚廣場,25.049308,121.5171935
微風廣場,25.0461678,121.5445152
微風南京,25.0520086,121.5478119
微風信義,25.0405444,121.5667909
環球南港車站,25.0530944,121.6082992
CITYLINK南港店,25.0526405,121.6059866
遠企購物中心,25.0263019,121.5493621
CITYLINK松山店,25.0492016,121.5783212
寶麗廣?,25.0397075,121.5678251
ATT 4 FUN,25.0353558,121.5659995
臺北101,25.0336752,121.5648831
Mega City板橋大遠百,25.0140651,121.4673332
麗寶百貨廣場,25.0123893,121.4618696
環球板橋車站,25.0144236,121.463768
威力購物廣場,25.0017136,121.496062
徐匯廣場,25.080547,121.4804698
環球新北中和,25.0071689,121.4748058
環球林口A9,25.0663333,121.3616049
日月光廣場,24.9787439,121.4451593
秀泰生活樹林店,24.9955131,121.4284264
MITSUI OUTLET PARK 林口,25.0706472,121.3648336
昕境廣場,25.0735828,121.3690111
iFG遠雄廣場,25.0619046,121.6480397
大江國際購物中心,25.000988,121.228654
華泰名品城,25.0142027,121.2132261
環球桃園A19,25.0018173,121.2018597
台茂購物中心,25.053471,121.288392
6+Plaza購物廣場,24.8076114,121.0382307
遠東百貨竹北店,24.8223519,121.023336
Big City遠東巨城購物中心,24.8098161,120.9751319
晶品城購物廣場,24.8020973,120.9704437
大魯閣湳雅廣場,24.8193056,120.9698216
尚順購物中心,24.6889022,120.9036856
麗寶Outlet Mall,24.3245903,120.6993847
MITSUI OUTLET PARK 台中港,24.2593535,120.51868
JMall,24.1831969,120.6158369
老虎城購物中心,24.1642474,120.6381239
Top City 臺中大遠百,24.164547,120.6445855
新國自在商場,24.1568505,120.6464358
秀泰生活文心店,24.1297596,120.645765
大墩食衣生活廣場,24.1496326,120.6496563
勤美誠品綠園道,24.1513049,120.6640025
金典綠園道,24.1557383,120.663261
東協廣場,24.1393005,120.6838692
日曜天地Outlet,24.1425265,120.685256
秀泰生活台中站前店,24.1406932,120.6896272
大魯閣新時代購物中心,24.1357726,120.6877477
Mitsui Shopping Park LaLaport 台中,24.1357597,120.6924558
秀泰生活嘉義店,23.4800751,120.4491113
耐斯廣場購物中心,23.4965708,120.4525868
南紡購物中心,22.990786,120.232703
MITSUI OUTLET PARK 台南,22.9252585,120.2874033
義大世界購物廣場,22.7295098,120.4062585
環球新左營車站,22.6876989,120.3074042
漢神巨蛋購物廣場,22.6698975,120.3029487
義享時尚廣場,22.6564504,120.3063019
統一夢時代購物中心,22.5948656,120.3057541
SKM Park,22.5825944,120.3293377
環球屏東市,22.6732667,120.4934017
蘭城新月廣場,24.7539567,121.7502975
花蓮新天堂樂園,23.9389685,121.595057
秀泰生活台東店,35.7125736,139.7802043
Pier3三號港購物廣場,23.5679684,119.5723022
風獅爺商店街,24.527901,118.366765
