郵遞區號,電腦局號,局名,電腦局名,局址,郵務電話,儲匯電話,lat,lng
116644,000270-3000505-6,木柵郵局,臺北170支,台北市文山區木柵路三段27號,(02)2939-2781-20,(02)2939-2781-11,24.98851,121.565528
116011,000271-7,文山指南郵局,臺北171支,台北市文山區指南路二段115號,(02)2939-3767,(02)2939-3767,24.9876307,121.5763395
116005,000272-1,文山溝子口郵局,臺北172支,台北市文山區木柵路1段119號,(02)2236-0561,(02)2236-0561,24.987445,121.548406
116019,000273-4,文山木新郵局,臺北173支,台北市文山區木新路3段329號,(02)2936-0439,(02)2938-6373,24.9804345,121.556331
223002,000274-8,石碇郵局,臺北174支,新北市石碇區碇坪路1段78-80號,(02)2663-1833,(02)2663-1833,24.99136,121.657573
222004,000275-1,深坑郵局,臺北175支,新北市深坑區北深路3段30號,(02)2662-1005,(02)2662-1005,25.001247699999997,121.6091976
221030,001143-1,汐止龍安郵局,基隆43支,新北市汐止區龍安路42號,(02)2642-6626,(02)2642-6626,25.063807,121.65433999999999
221007,001144-5,汐止厚德郵局,基隆44支,新北市汐止區樟樹一路224號,(02)2647-7134,(02)2647-7134,25.0664749,121.642472
221039,001145-9,汐止翠柏郵局,基隆45支,新北市汐止區永春一路5號,(02)2645-1457,(02)2645-1457,25.1125158,121.6032159
221028,001146-2,汐止南昌郵局,基隆46支,新北市汐止區新昌路72號,(02)2649-8837,(02)2649-8837,25.068870999999998,121.66360890000001
221683,001147-6,汐止建成路郵局,基隆47支,新北市汐止區建成路58號,(02)8691-5658,(02)8691-5658,25.07315,121.66351709999998
400700,002100-9002500-1,臺中民權路郵局,臺中901支,台中市中區民權路86號,(04)2221-5121-226,(04)2221-5121-245,24.139116,120.678871
402701,002101-2,臺中臺中路郵局,臺中1支,台中市南區台中路100號,(04)2222-6854,(04)2222-6854,24.1332801,120.68339920000001
403702,002102-6,臺中中正路郵局,臺中2支,台中市西區台灣大道一段701號,(04)2203-5080,(04)2201-6954,24.1475704,120.67359609999998
414703,002103-0,烏日郵局,臺中3支,台中市烏日區光日路123號,(04)2338-1364,(04)2338-1364,24.1054806,120.62474270000001
407705,002105-7,東海大學郵局,臺中5支,台中市西屯區台灣大道四段2147號,(04)2359-2748,(04)2359-2748,24.18226180000001,120.59332140000002
413706,002106-1,霧峰民生路郵局,臺中6支,台中市霧峰區民生路93號,(04)2339-3409,(04)2339-3409,24.066443300000003,120.70062879999999
100003,000100-6000500-8,臺北北門郵局,臺北901支,台北市中正區忠孝西路一段120號,(02)2361-5752,(02)2381-3135,25.0473639,121.51175320000002
100016,000101-0,臺北東門郵局,臺北1支,台北市中正區信義路二段163號,(02)2394-7576,(02)2321-4679,25.0340699,121.52891299999999
108207,000102-3,臺北漢中街郵局,臺北2支,台北市萬華區漢中街173號,(02)2361-6809,(02)2331-4069,25.0413279,121.507015
108010,000103-7,臺北西園郵局,臺北3支,台北市萬華區長沙街二段156號,(02)2331-4524,(02)2331-4524,25.0407723,121.5010534
100056,000105-4,臺北南海郵局,臺北5支,台北市中正區重慶南路二段43號,(02)2396-3142,(02)2321-4189,25.0318307,121.51466119999999
100053,000106-8,臺北螢橋郵局,臺北6支,台北市中正區廈門街76號,(02)2368-4714,(02)2367-0905,25.024632699999998,121.51737079999998
106203,000107-1,臺北青田郵局,臺北7支,台北市大安區和平東路一段155號,(02)2321-4288,(02)2321-8001,25.026618,121.53114
100009,000108-5,臺北復興橋郵局,臺北8支,台北市中正區忠孝西路一段1號,(02)2311-4421,(02)2311-4421,25.04598630000001,121.51940900000001
104202,000109-9,臺北中山郵局,臺北9支,台北市中山區中山北路一段142號,(02)2542-6403,(02)2542-5934,25.051482500000002,121.52211499999999
103210,000110-1,臺北迪化街郵局,臺北10支,台北市大同區迪化街一段38號,(02)2556-0519,(02)2556-0631,25.054789000000003,121.50998600000001
103211,000111-4,臺北圓環郵局,臺北11支,台北市大同區重慶北路二段15號,(02)2556-1703,(02)2559-2168,25.0546485,121.51447920000001
100211,000112-8,行政院郵局,臺北12支,台北市中正區北平東路2號,(02)2321-4874,(02)2321-4874,25.0469368,121.52072790000001
100046,000113-1,臺北公館郵局,臺北13支,台北市中正區羅斯福路四段74號,(02)2365-9518,(02)2368-8574,25.0144012,121.53441940000002
100006,000114-5,國史館郵局,臺北14支,台北市中正區博愛路168號,(02)2331-0962,(02)2311-7879,25.039598,121.511122
100004,000115-9,總統府郵局,臺北15支,台北市中正區重慶南路一段122號,(02)2311-0859,(02)2311-0859,25.0403593,121.5122878
104218,000117-6,臺北雙連郵局,臺北17支,台北市中山區中山北路二段96號,(02)2541-4332,(02)2523-6846,25.059418,121.52252800000001
105047,000118-0,臺北松山郵局,臺北18支,台北市松山區八德路四段626號,(02)2767-4928,(02)8787-9193,25.049813600000004,121.5741652
100205,000120-5,臺北法院郵局,臺北20支,台北市中正區博愛路127號,(02)2331-4925,(02)2311-3025,25.038018899999997,121.511288
103221,000121-9,臺北臺北橋郵局,臺北21支,台北市大同區民權西路246號,(02)2557-8538,(02)2550-2821,25.0627732,121.51271729999999
106209,000122-2,臺北師大郵局,臺北22支,台北市大安區和平東路一段162號,(02)2363-5053,(02)2363-5053,25.0264676,121.5274986
106216,000123-6,臺大郵局,臺北23支,台北市大安區羅斯福路四段1號,(02)2363-3435,(02)2363-3435,25.0152002,121.5375088
106240,000124-0,臺北仁愛路郵局,臺北24支,台北市大安區仁愛路三段47號,(02)2771-1497,(02)2752-4551,25.03867210000001,121.5356019
100222,000125-3,立法院郵局,臺北25支,台北市中正區濟南路一段1號,(02)2391-7844,(02)2321-9814,25.043252,121.5198947
106096,000126-7,臺北信維郵局,臺北26支,台北市大安區信義路四段101號,(02)2707-7130,(02)2708-3670,25.0334326,121.5477155
104282,000127-1,臺北建北郵局,臺北27支,台北市中山區建國北路二段33號,(02)2502-0944,(02)2504-1943,25.0549662,121.537218
111011,000128-4,士林郵局,臺北28支,台北市士林區文林路162號,(02)2881-8743,(02)2881-2535,25.089177,121.52687040000002
116052,000129-8,文山景美郵局,臺北29支,台北市文山區羅斯福路六段389號,(02)2931-2010,(02)2932-3411,24.9924139,121.54089309999999
