縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女,lat,lng
30,臺北市,400144,國立臺灣戲曲學院附設高職部,30,39,0,0,0,0,21,129,252,48,83,25.0819234,121.586525
14,臺東縣,140222,國立臺東專科學校附設高職部,34,36,0,0,7,4,36,538,219,142,75,22.7579117,121.1243815
1,新北市,10301,國立華僑高級中等學校,49,84,4,3,7,19,48,703,800,154,268,25.0075,121.4477778
1,新北市,11301,私立淡江高中,33,67,0,0,7,10,28,450,465,162,210,25.1762507,121.437164
1,新北市,11302,私立康橋高中,24,24,0,0,4,1,21,410,431,142,125,24.9120394,121.4958652
1,新北市,11306,私立金陵女中,26,76,2,5,2,21,18,0,732,0,257,25.04299,121.466942
1,新北市,11307,新北市裕德高級中等學校,17,45,0,0,5,20,9,88,70,12,13,24.9830118,121.4394801
1,新北市,11309,財團法人南山高中,102,115,6,13,10,23,36,941,696,335,212,25.0016594,121.5036507
1,新北市,11310,財團法人恆毅高中,31,47,2,3,5,16,19,619,317,120,92,25.0366541,121.4537324
1,新北市,11311,私立聖心女中,13,39,6,9,2,13,9,0,365,0,126,25.13562,121.449122
1,新北市,11312,私立崇義高中,6,2,4,3,8,3,10,114,21,32,14,25.077429,121.669969
1,新北市,11314,財團法人中華高中,4,1,0,0,3,5,4,67,15,83,26,24.975578,121.4374135
1,新北市,11315,私立東海高中,13,19,19,5,5,11,21,450,129,219,50,25.0647366,121.4788449
1,新北市,11316,私立格致高中,45,38,3,3,6,12,30,452,284,180,77,25.0738323,121.4886747
1,新北市,11317,私立醒吾高中,17,18,5,13,3,12,24,274,288,117,153,25.079564,121.395793
1,新北市,11318,私立徐匯高中,11,23,0,0,3,8,6,237,0,106,0,25.080107,121.480124
1,新北市,11322,新北市崇光高中,14,62,0,0,2,16,12,3,462,0,160,24.9718753,121.538946
1,新北市,11323,私立光仁高中,35,53,7,15,9,14,17,349,299,124,110,25.0183052,121.4764718
1,新北市,11324,私立竹林高中,58,61,4,9,4,15,30,576,436,164,161,24.9799565,121.5057743
1,新北市,11325,私立及人高中,7,13,8,2,4,9,4,75,32,37,23,24.966799,121.51489
1,新北市,11329,財團法人辭修高中,17,44,0,1,21,23,11,254,195,102,64,24.932696,121.407931
1,新北市,11330,新北市林口康橋國際高中,38,42,0,0,15,31,15,252,247,42,49,25.0741868,121.389928
1,新北市,11399,私立時雨高中,47,31,0,0,7,14,15,409,218,128,82,25.1095045,121.8552909
1,新北市,13303,市立泰山高中,83,80,0,0,15,16,69,1554,589,335,163,25.057789,121.429729
1,新北市,13304,市立板橋高中,48,92,10,11,2,19,60,1135,1083,374,367,25.012041,121.4590137
1,新北市,13335,市立新店高中,37,85,5,15,2,17,51,895,904,249,296,24.975506,121.532082
1,新北市,13336,市立中和高中,40,85,0,0,5,14,54,1096,833,306,265,24.994112,121.478471
1,新北市,13337,市立新莊高中,53,80,0,0,5,13,57,1044,999,324,328,22.6813675,120.3175826
1,新北市,13338,市立新北高中,42,70,3,5,7,13,51,942,868,252,299,25.0874536,121.489796
1,新北市,13339,市立林口高中,46,59,0,0,2,16,45,783,765,197,257,25.0732029,121.3805242
1,新北市,14302,市立海山高中,84,191,0,0,3,18,33,655,519,194,186,25.0096689,121.4712073
1,新北市,14311,市立三重高中,47,111,6,4,2,15,42,648,713,194,233,25.054741,121.4914967
1,新北市,14315,市立永平高中,44,109,4,2,5,13,36,593,628,165,215,25.0105828,121.5083843
1,新北市,14322,市立樹林高中,62,138,0,0,8,16,48,633,733,158,243,24.9829633,121.4223883
1,新北市,14326,市立明德高中,67,99,4,2,7,15,36,587,543,116,172,24.9038379,121.365725
1,新北市,14332,市立秀峰高中,58,116,9,7,6,11,33,441,483,123,150,25.0657829,121.6608704
1,新北市,14338,市立金山高中,35,59,0,0,6,11,19,195,203,57,76,25.224676,121.637008
1,新北市,14343,市立安康高中,50,100,0,0,5,14,33,471,536,139,173,24.9694528,121.5153
1,新北市,14347,市立雙溪高中,22,45,0,0,2,11,15,141,129,27,24,25.0349052,121.8632554
1,新北市,14348,市立石碇高中,29,43,0,0,4,7,18,231,227,46,67,25.0141303,121.6429468
1,新北市,14353,市立丹鳳高中,78,157,0,0,6,13,30,507,533,162,163,25.021049,121.416544
1,新北市,14356,市立清水高中,68,143,0,0,2,16,44,649,698,197,230,24.2652825,120.5740941
1,新北市,14357,市立三民高中,65,142,12,23,2,18,45,712,742,218,234,25.0868693,121.4737065
1,新北市,14362,市立錦和高中,50,131,14,16,4,11,33,574,502,149,155,24.992544,121.491084
1,新北市,14363,市立光復高中,33,89,7,4,1,12,21,327,359,81,120,25.0167462,121.4822165
1,新北市,14364,市立竹圍高中,44,69,0,0,2,10,23,445,337,105,105,25.1459534,121.461587
1,新北市,14381,市立北大高級中學,26,49,0,0,0,9,18,349,326,110,110,24.948248,121.3764596
1,新北市,14399,市立豐珠中學,2,9,0,0,3,4,2,0,6,0,0,25.0656443,121.9018436
2,宜蘭縣,20301,國立蘭陽女中,39,60,0,0,3,15,42,0,1343,0,432,24.7453914,121.753373
2,宜蘭縣,20302,國立宜蘭高中,66,47,0,0,8,13,42,1239,157,446,61,24.751424,121.7417203
2,宜蘭縣,20308,國立羅東高中,41,65,0,0,7,13,42,689,657,215,250,24.6807286,121.761905
2,宜蘭縣,21301,私立慧燈高中,47,39,0,0,12,14,17,469,260,164,97,24.777028,121.7155386
2,宜蘭縣,21310,私立中道高中,22,13,0,0,4,7,7,162,93,61,33,24.7597787,121.7937987
2,宜蘭縣,24322,縣立南澳高中,28,30,0,0,3,6,10,117,68,24,20,24.465902,121.801868
2,宜蘭縣,24325,縣立慈心華德福實中,18,22,0,0,8,8,5,76,48,15,16,24.6268113,121.795708
3,桃園市,30305,國立中央大學附屬中壢高中,63,90,20,33,4,20,60,1129,1025,352,338,24.962072,121.211168
3,桃園市,31301,桃園市懷恩高中,2,4,0,0,0,1,0,0,0,8,1,24.8481274,121.2453129
3,桃園市,31309,桃園市育達高中,64,105,13,24,8,16,143,2194,2703,653,966,24.95191,121.209124
3,桃園市,31310,私立六和高中,44,80,0,0,6,15,30,724,473,203,162,24.9453453,121.1858942
3,桃園市,31311,桃園市復旦高中,51,95,0,0,5,18,36,949,747,301,260,24.948372,121.203082
3,桃園市,31312,桃園市治平高中,82,87,59,31,7,21,110,2424,1939,845,653,24.9158677,121.1886835
3,桃園市,31313,桃園市振聲高中,65,103,23,18,7,19,70,1281,1846,399,627,24.9905152,121.3022615
3,桃園市,31317,私立光啟高中,15,27,5,1,2,7,24,625,172,214,62,25.0201005,121.4031147
3,桃園市,31318,桃園市啟英高中,83,109,53,33,6,18,139,2560,2236,919,856,24.9750491,121.2357616
3,桃園市,31319,桃園市清華高中,11,6,13,3,0,3,19,263,85,103,37,24.9816339,121.1083826
3,桃園市,31320,桃園市新興高中,101,142,9,17,5,19,119,3217,2161,1004,756,24.975174,121.271855
3,桃園市,31323,私立至善高中,9,5,28,12,5,9,22,208,116,68,35,24.867158,121.284486
3,桃園市,31324,桃園市大興高中,48,36,7,8,3,8,50,1158,498,397,179,25.061988,121.192613
3,桃園市,31326,私立大華高中,15,34,2,3,5,14,6,130,138,41,48,24.882732,121.1744393
3,桃園市,33302,市立龍潭高中,52,66,4,5,11,17,45,908,460,234,148,24.8612862,121.2129579
3,桃園市,33304,市立桃園高中,57,105,1,5,5,21,66,1225,1091,371,419,24.9994003,121.3273196
3,桃園市,33306,市立武陵高中,60,81,0,0,6,19,63,1282,972,424,356,24.987672,121.2857263
3,桃園市,33316,市立楊梅高中,60,68,4,5,6,19,51,1065,749,258,167,24.921386,121.148215
3,桃園市,33325,市立陽明高中,54,97,4,15,5,22,60,1036,1078,319,366,25.0922121,121.5172424
3,桃園市,33327,市立內壢高中,51,94,1,1,4,15,57,1029,1011,342,347,24.9779218,121.2558058
3,桃園市,34306,市立南崁高中,27,73,0,0,3,15,42,673,745,209,220,25.0524424,121.2970629
3,桃園市,34312,市立大溪高中,30,53,5,3,3,12,33,535,518,159,160,24.868745,121.2858825
3,桃園市,34314,市立壽山高中,62,81,0,0,6,17,54,797,1036,167,321,24.9945839,121.3412207
3,桃園市,34319,市立平鎮高中,44,80,0,0,5,15,48,870,771,223,257,24.939725,121.21896
3,桃園市,34332,市立觀音高中,55,86,0,0,10,13,27,468,395,98,116,25.0147432,121.1327739
3,桃園市,34335,市立新屋高級中等學校,39,82,4,13,5,13,21,318,191,59,44,24.970544,121.1017254
3,桃園市,34347,市立永豐高中,59,127,0,0,3,20,39,660,631,229,185,24.9749506,121.2701309
3,桃園市,34348,市立羅浮高中,18,15,0,0,4,3,3,35,20,0,0,24.9936281,121.3009798
3,桃園市,34399,市立大園國際高中,52,63,0,0,3,17,47,695,809,143,299,25.0211,121.2210422
4,新竹縣,40302,國立竹東高中,40,76,9,5,9,12,48,802,709,251,251,24.732995,121.088225
4,新竹縣,40304,國立關西高中,29,48,3,1,10,11,27,433,434,140,150,24.788416,121.1855991
4,新竹縣,40308,國立竹北高中,49,99,9,21,6,23,57,1145,716,306,307,24.8369051,121.0041358
4,新竹縣,41303,私立義民高中,38,62,19,16,2,16,42,953,965,322,323,24.8391368,121.0040633
4,新竹縣,41305,私立忠信高中,17,25,9,9,0,2,17,293,271,108,76,24.881078,121.001876
4,新竹縣,41306,私立東泰高中,27,32,21,9,7,14,56,982,524,270,152,24.7115674,121.0983352
4,新竹縣,41307,私立仰德高中,24,32,8,6,3,15,39,670,490,196,192,24.8815898,121.0051968
4,新竹縣,44311,縣立六家高級中學,27,73,0,0,1,10,21,417,393,112,132,24.8210147,121.0318342
14,臺東縣,140301,國立臺東大學附屬體育高中,22,23,0,0,9,12,9,162,46,23,22,22.7644294,121.075238
14,臺東縣,140302,國立臺東女中,27,43,0,0,4,12,27,8,812,6,272,22.760901,121.15348
14,臺東縣,140303,國立臺東高中,40,43,0,0,5,13,30,884,41,250,3,22.7477668,121.1465661
14,臺東縣,141301,臺東縣均一高中,11,14,0,0,4,10,6,62,80,20,22,22.7703313,121.1261014
14,臺東縣,141307,私立育仁高中,6,6,2,5,1,9,7,54,42,24,34,22.77419,121.092785
14,臺東縣,144322,縣立蘭嶼高中,7,25,0,0,4,6,3,28,10,16,6,22.0498373,121.5118562
15,花蓮縣,150303,國立花蓮高中,46,47,9,21,4,13,36,1061,22,275,10,23.9867344,121.6258141
15,花蓮縣,150309,國立玉里高中,31,51,2,4,9,9,33,261,185,75,63,23.345486,121.318262
15,花蓮縣,151306,私立海星高中,21,32,16,21,3,7,21,247,353,99,138,24.0073437,121.613781
15,花蓮縣,151307,私立四維高中,24,34,11,6,9,11,25,545,458,218,198,24.0003499,121.5914759
15,花蓮縣,151312,財團法人慈濟大學附中,39,42,4,5,5,8,15,305,251,85,91,23.999868,121.5741826
15,花蓮縣,154301,花蓮縣立體育高中,12,8,1,0,3,9,6,109,47,33,11,24.0031924,121.5837156
16,澎湖縣,160302,國立馬公高中,46,60,5,17,9,14,47,552,633,163,221,23.5710333,119.5806143
17,基隆市,170301,國立基隆女中,42,68,2,3,6,19,45,0,821,0,345,25.1286152,121.7591702
17,基隆市,170302,國立基隆高中,36,52,12,39,6,17,33,365,218,96,37,25.1075761,121.7328491
17,基隆市,171306,私立二信高中,74,90,6,5,21,27,52,1060,799,335,270,25.143902,121.771516
17,基隆市,173304,市立中山高中,30,50,4,5,5,11,12,134,121,24,38,22.728652,120.2927492
17,基隆市,173307,市立暖暖高中,17,43,0,0,4,8,12,159,134,40,38,25.1081244,121.737743
17,基隆市,173314,市立八斗高中,24,43,0,0,2,8,12,86,71,17,13,25.140237,121.7882919
18,新竹市,180301,國立竹科實驗高級中等學校,42,73,0,0,6,28,21,403,239,124,99,24.777184,121.016432
18,新竹市,180302,國立新竹女中,41,96,3,3,1,23,54,16,1873,8,657,24.8047857,120.9755859
18,新竹市,180309,國立新竹高中,63,78,26,52,5,20,54,1861,60,641,22,24.795089,120.9804127
18,新竹市,181305,私立光復高中,74,105,25,26,9,20,111,2405,2033,705,605,24.798387,120.994056
18,新竹市,181306,私立曙光女中,23,77,0,0,1,10,24,15,1071,3,364,24.811149,120.9728262
18,新竹市,181307,私立磐石高中,50,56,12,11,11,12,42,1168,703,389,199,24.8108193,120.9570734
18,新竹市,181308,私立世界高中,8,15,2,13,1,6,22,180,167,68,118,24.7807043,121.0198068
18,新竹市,183306,市立成德高中,33,87,0,0,1,14,27,539,374,161,103,24.7909191,120.953335
18,新竹市,183307,市立香山高中,36,95,0,0,4,12,27,449,437,159,145,24.785165,120.930349
18,新竹市,183313,市立建功高中,37,131,7,12,1,15,24,541,398,168,162,24.7978951,121.0023113
19,臺中市,191301,私立東大附中,25,49,5,5,4,4,18,392,426,130,122,24.182282,120.6055347
19,臺中市,191302,私立葳格高中,21,38,4,6,9,32,20,266,275,147,154,24.1785854,120.711852
19,臺中市,191305,私立新民高中,110,140,27,25,12,21,129,2727,2745,822,888,24.1586929,120.685906
19,臺中市,191308,私立宜寧高中,16,39,22,22,6,15,34,756,539,245,202,24.1938884,120.606577
19,臺中市,191309,私立明德高中,40,117,10,8,10,18,67,740,1771,253,651,24.120318,120.683671
19,臺中市,191311,私立衛道高中,71,89,1,5,11,23,24,774,306,239,121,24.1830032,120.6750442
19,臺中市,191313,私立曉明女中,38,67,0,10,3,17,18,0,850,0,279,24.168102,120.673388
19,臺中市,191314,私立嶺東高中,63,71,13,15,13,22,76,1535,1131,556,488,24.138096,120.610281
19,臺中市,191315,私立磊川華德福實驗教育學校,10,20,0,0,3,7,3,28,28,3,3,24.1804983,120.713242
19,臺中市,193301,市立臺中女中,50,78,8,20,5,18,54,0,1917,0,675,24.136043,120.677765
19,臺中市,193302,市立臺中一中,97,70,0,0,9,19,75,2650,87,907,28,24.1498345,120.6863244
19,臺中市,193303,市立忠明高中,44,115,0,0,3,14,27,367,548,98,211,24.1589341,120.6636692
19,臺中市,193313,市立西苑高中,64,140,0,0,6,20,28,490,471,155,153,24.186534,120.64181
19,臺中市,193315,市立東山高中,78,163,0,0,6,15,30,523,503,151,188,24.1663557,120.712095
19,臺中市,193316,市立惠文高中,63,102,0,0,7,15,33,718,471,218,200,24.1516147,120.6397871
19,臺中市,194303,市立臺中二中,71,91,0,0,6,23,69,1524,874,529,264,24.1529906,120.6749422
19,臺中市,194315,市立文華高中,57,82,5,20,4,22,60,715,1368,252,477,24.1702094,120.6599389
20,嘉義市,200302,國立嘉義女中,42,61,3,15,5,16,48,0,1577,0,559,23.473657,120.450995
20,嘉義市,200303,國立嘉義高中,70,85,18,12,6,22,66,1941,163,672,51,23.47709,120.4648722
20,嘉義市,201304,私立興華高中,23,41,0,0,7,10,26,503,369,228,204,23.4895018,120.4647954
20,嘉義市,201309,私立仁義高中,2,1,0,2,0,3,1,7,1,39,9,23.4594591,120.4865167
20,嘉義市,201310,私立嘉華高中,18,23,10,5,5,7,11,237,170,84,76,23.4835895,120.4767061
20,嘉義市,201312,私立輔仁高中,36,27,0,0,6,13,19,472,323,133,113,23.460557,120.456993
20,嘉義市,201313,私立宏仁女中,8,13,1,2,2,7,5,23,137,0,67,23.506283,120.445669
20,嘉義市,201314,私立立仁高中,6,6,0,2,3,6,5,82,117,48,59,23.4631749,120.4594794
21,臺南市,210303,國立臺南二中,60,81,3,9,2,18,57,1176,807,434,227,23.0055481,120.212765
21,臺南市,210305,國立臺南一中,89,61,0,0,4,22,60,1997,47,698,23,22.9942111,120.2158889
21,臺南市,210306,國立臺南女中,41,92,8,21,6,18,57,17,1921,7,686,22.9872458,120.2065307
21,臺南市,210309,國立家齊高中,39,92,0,0,7,15,51,407,1271,126,435,22.981624,120.200817
21,臺南市,211301,私立長榮高中,59,58,10,9,23,17,56,1047,705,412,287,22.9894128,120.2229561
21,臺南市,211302,私立長榮女中,6,20,9,12,4,10,17,132,515,40,174,22.9911165,120.2211482
21,臺南市,211304,財團法人聖功女中,30,53,2,7,2,24,18,0,773,0,264,23.014844,120.221297
21,臺南市,211310,臺南市光華高中,16,53,0,0,1,13,34,391,880,112,271,22.988612,120.21739
