lng,lat,店名,地址,電話
121.2561852,24.9626292,基隆新豐店,基隆市中正區新豐街249號,02-2469-2091
121.7434957,25.1293773,基隆愛三店,基隆市仁愛區愛三路116號,02-2423-1500
121.744792,25.1309333,基隆信一旗艦專櫃,基隆市信義區信一路177號,02-2421-3531
121.7099698,25.1419394,基隆大武崙旗艦專櫃,基隆市安樂區基金一路206-1號,02-2431-5206
121.5491554,25.0827855,台北北安旗艦專櫃,台北市中山區北安路626號1樓,02-2533-6263
121.5256117,25.0518622,林森一店,台北市中山區南京東路1段86號,02-2537-4880
121.5432109,25.0516119,台北南京五店,台北市中山區南京東路三段210之1號,02-2751-5390
121.520677,25.0521315,南西誠品旗艦專櫃,台北市中山區南京西路14號,
121.5257872,25.0602121,林森三店,台北市中山區林森北路413號1樓,02-2567-7038
121.5304349,25.0627283,台北民權二店,台北市中山區民權東路2段43號1樓,02-2591-0105
121.5199813,25.0626395,民權三店,台北市中山區民權西路68號1樓,02-2511-5655
121.533823,25.05458,長春旗艦專櫃,台北市中山區長春路172號,02-2504-2797
121.5168021,25.0445664,台北公園店,台北市中正區公園路30-1號,02-2375-4891
121.5170789,25.0477484,台北車站微風店,台北市中正區北平西路3號1樓,02-2311-6665
121.5186575,25.0294233,台北南昌店,台北市中正區南昌路1段149號1樓,02-2351-8531
121.5090412,25.0416016,遠東寶慶店,台北市中正區寶慶路32號B1,02-2389-2817
121.5174415,25.0465183,台北站前誠品店,台北市中正區忠孝西路一段47號 B1,02-2383-1770
121.5234698,25.0444269,林森二旗艦專櫃,台北市中正區林森南路1號,02-2391-1196
121.53261,25.0400737,台北濟南店,台北市中正區濟南路2段66號1樓,02-2395-8275
121.5345802,25.0141862,台北公館店,台北市中正區羅斯福路四段76-1號,02-2366-1123
121.5147033,25.0459235,台北館前店,台北市中正區館前路8號,02-2311-1460
121.5643085,25.0338492,台北新101店,台北市信義區市府路45號B1,02-81017708
121.5716028,25.0411879,忠孝二旗艦專櫃,台北市信義區忠孝東路5段289號,02-2764-9488
121.5791984,25.0412666,忠孝四店,台北市信義區忠孝東路5段522號1樓,02-2759-5793
121.5659814,25.0353112,台北松壽店,台北市信義區松壽路12號1F,02-7745-2256
121.5783212,25.0492016,松山車站店,台北市信義區松山路11號一樓商場,02-2742-0575
121.5653555,25.0396669,信義誠品店,台北市信義區松高路11號B2,02-2723-0015
121.5666758,25.0380379,新光信義店,台北市信義區松高路12號B2,02-8789-6315
121.5682139,25.0268661,台北莊敬旗艦專櫃,台北市信義區莊敬路475號1樓,02-8780-0218
121.5785576,25.0789852,台北內湖店,台北市內湖區內湖路1段741號1樓,02-2658-1021
121.566227,25.0824426,台北西湖旗艦專櫃,台北市內湖區內湖路一段283號1樓,02-8751-3326
121.6118004,25.0693754,台北康寧旗艦專櫃,台北市內湖區康寧路3段168號1樓,02-2631-1795
121.569569,25.0793862,台北瑞光店,台北市內湖區瑞光路517號1樓,02-8751-5597
121.5780389,25.0609683,內湖大潤發店,台北市內湖區舊宗路1段128號,02-8792-5720
121.5792534,25.0607044,台北舊宗旗艦專櫃,台北市內湖區舊宗路一段135號,02-2796-0708
121.5943057,25.084504,內湖金龍旗艦專櫃,台北市內湖區金龍路22號,
121.4678115,25.1280896,台北中央店,台北市北投區中央北路四段534號1樓,02-2895-2638
121.50433,25.136228,台北北投店,台北市北投區光明路218-3號,02-2891-3389
121.4984114,25.1311788,台北大業旗艦專櫃,台北市北投區北投路2段15號,02-2897-0316
121.5058176,25.1160578,台北承德二旗艦專櫃,台北市北投區承德路7段262號1樓,02-2821-0533
121.5173817,25.1178786,台北石牌店,台北市北投區石牌路2段126號,02-2820-1362
121.6058331,25.0544382,台北南港店,台北市南港區南港路2段16號1樓,02-2789-0595
121.5936976,25.0501488,忠孝八店,台北市南港區忠孝東路6段438號1樓,02-2654-6761
121.6164182,25.0523101,台北研究院店,台北市南港區研究院路1段99號,02-2653-6369
121.5281684,25.0960742,士林旗艦專櫃,台北市士林區中山北路5段602號,02-2831-3010
121.5330568,25.1094458,台北德行店,台北市士林區德行東路227號1樓,02-2836-2779
121.5315215,25.1118264,高島屋店,台北市士林區忠誠路2段55號B1,02-2831-5961
121.5233186,25.0837988,台北承德三店,台北市士林區承德路四段128號1~2樓,02-2885-5961
121.5466632,25.1377696,陽明山店,台北市士林區格致路62號,02-2861-7252
121.546563,25.0939865,台北東吳店,台北市士林區臨溪路70號1樓(東吳大學內綜合大樓),02-2880-3105
121.5119065,25.0824989,重北一店,台北市士林區重慶北路4段123號,02-2816-2230
121.5167736,25.0507496,台北承德店,台北市大同區承德路1段34號1樓,02-2556-3502
121.5203822,25.0577589,民生三店,台北市大同區民生西路55號,02-2557-4627
121.5545619,25.0333263,台北信義店,台北市大安區信義路4段273號1樓,02-2703-8921
121.5574103,25.0395492,台北光復店,台北市大安區光復南路286號,02-2741-5210
121.5579406,25.0183296,台北麟光店,台北市大安區和平東路3段406巷8號1樓,02-2377-1063
121.5436329,25.0256789,復興二店,台北市大安區復興南路二段273號,02-2754-7577
121.5469653,25.0418694,忠孝五店,台北市大安區忠孝東路4段73號之一1樓,02-2772-6530
121.5449392,25.0417855,忠孝SOGO店,台北市大安區忠孝東路四段45號B2,
121.5333445,25.01821,台北新生旗艦專櫃,台北市大安區新生南路3段88之2號,02-2362-0668
121.5224211,25.0274742,羅斯福店,台北市大安區羅斯福路2段45號,02-2393-0023
121.5400932,25.0177593,台北台大店,台北市大安區羅斯福路四段1號1樓之台灣大學第一學生活動中心賣場,02-2362-1290
121.5748415,24.9879502,台北指南店,台北市文山區指南路2段67號1樓,02-8661-7768
121.5810011,24.9983261,台北動物園三店,台北市文山區新光路二段30號,02-8661-7111
121.5809945,24.9985514,台北動物園三店,台北市文山區新光路二段30號台北市立動物園前區1F,02-8661-7111
121.5422633,24.9921961,景美店,台北市文山區景中街30巷12號,02-2933-3341
121.56059,24.981815,台北木新店,台北市文山區木新路3段174號1樓,02-2937-0095
121.5502165,24.9876051,台北考試院店,台北市文山區木柵路1段137號,02-2236-2598
121.5665109,24.9886697,台北木柵店,台北市文山區木柵路3段57號1樓,02-2939-4168
121.5558422,25.0001732,台北興隆店,台北市文山區興隆路3段54號,02-2933-6260
121.5791866,25.0493066,松山車站旗艦專櫃,台北市松山區信義區松山路11號一樓商場,02-2742-0575
121.563078,25.0512256,台北南京二店,台北市松山區南京東路5段162號1樓,02-2768-9449
121.5460617,25.0618403,民權一店,台北市松山區民權東路3段128號1樓,02-2717-7152
121.5484515,25.0580934,台北民生旗艦專櫃店,台北市松山區民生東路3段135號,02-2713-0715
121.5660545,25.0589349,台北民生二店,台北市松山區民生東路5段234號1樓,02-2747-1086
121.5052767,25.0449146,昆明旗艦專櫃,台北市萬華區昆明街92之4號,02-2314-6526
121.5058635,25.0378901,台北桂林家樂福店,台北市萬華區桂林路1號,02-2311-9176
121.50067,25.0269354,台北萬大二旗艦專櫃,台北市萬華區萬大路215號,02-2301-1161
121.4950011,25.028213,台北西園二店,台北市萬華區西園路2段240號,02-2332-5640
121.375381,24.9422222,三峽學成旗艦專櫃,新北市三峽區學成路258號,02-2672-8230
121.3722506,24.9362507,三峽文化店,新北市三峽區文化路72號1樓,02-2673-1770
121.4817625,25.0792448,三重三和旗艦專櫃,新北市三重區三和路四段392-1號,02-2280-6398
121.4760132,25.0713682,三重愛買店,新北市三重區中正北路193巷45號1F,02-2971-1516
121.4920044,25.0834577,三重五華店,新北市三重區五華街89-1號1樓,02-2986-6855
121.4977746,25.0631171,三重正義店,新北市三重區正義北路15號,02-2986-7525
121.4964002,25.0665433,三重正義二店,新北市三重區正義北路176號1樓,02-2984-0098
121.4868984,25.0576563,三重重陽旗艦專櫃,新北市三重區重陽路一段5號,
121.4959789,25.0724879,三重龍門店,新北市三重區龍門路42號,02-2976-3181
121.4998309,25.0014973,中和店,新北市中和區中和路38號,02-2246-0725
121.4801992,25.0057341,中和中山店,新北市中和區中山路2段583號1樓,02-3234-5535
121.5129668,24.9885615,中和景新店,"新北市中和區景新街430,432號1~2樓",02-2946-0280
121.5099564,24.9889131,中和興南店,新北市中和區興南路1段83號1樓,02-8668-6975
